Country,Year for percent GDP invested in education,Percent GDP invested in education,GDP (millions),Population 2018,Happiness Index,"Homicide per 100,000 people",Life Expectancy,%Children out of primary school,Region,GDP per capita (thousands)
Cameroon,2018.0,3.1,38675.21,25216237.0,5.044,4.1741,58.92100000000001,6.53192,Africa,1.5337423264224557
Canada,2011.0,5.3,1713341.7,37057765.0,7.278,1.6841,81.94878,0.1175,North America,46.23435061450684
Central African Republic,2011.0,1.1,2219.89,4666377.0,3.083,19.7574,52.805,,Africa,0.47572024292079274
Chad,2018.0,2.2,11273.12,15477751.0,4.35,9.0403,53.977,,Africa,0.7283435429346292
Chile,2017.0,5.4,298231.13,18729160.0,6.444,3.4628,80.042,2.26992,South America,15.923358548915168
China,1999.0,1.9,13608151.86,1390000000.0,5.191,0.6156,76.704,,Asia,9.790037309352517
Colombia,2018.0,4.5,331047.04,49648685.0,6.125,25.5043,77.109,2.65404,South America,6.66779069777981
Comoros,2015.0,2.5,1177.96,832322.0,3.9730000000000003,7.7032,64.118,14.67772,Africa,1.4152695711515495
Costa Rica,2018.0,7.0,60130.11,4999441.0,7.167000000000001,11.905,80.095,3.24837,Central America,12.027366659592543
Croatia,2013.0,4.6,60971.7,4087843.0,5.432,1.0446,78.07073000000001,1.36378,Europe,14.915372239100181
Cyprus,2016.0,6.3,24961.99,1189265.0,5.718,1.1109,80.828,1.3404,Europe,20.989426242258872
Czech Republic,2016.0,5.6,245225.88,10629928.0,6.852,0.6126,78.97805,0.32281,Europe,23.069382972302353
Denmark,2014.0,7.6,355675.33,5793636.0,7.6,0.9807,81.35122,0.20221,Europe,61.390693167468584
Dominican Republic,2007.0,2.0,85555.39,10627165.0,5.425,15.1817,73.892,5.31317,Caribbean,8.050631565426905
Ecuador,2015.0,5.0,108398.06,17084357.0,6.028,5.8538,76.8,1.13854,South America,6.344872095566722
"Egypt, Arab Rep.",2008.0,3.8,250894.76,98423595.0,4.166,2.5133,71.825,0.55276,Africa,2.5491322482175134
El Salvador,2018.0,3.6,26057.0,6420744.0,6.252999999999999,82.8423,73.096,14.56686,Central America,4.05825243928118
Estonia,2016.0,5.2,30732.14,1321977.0,5.893,3.1931,78.5439,2.43254,Europe,23.247106417131313
Ethiopia,2015.0,4.7,84355.6,109000000.0,4.2860000000000005,7.5616,66.24,,Africa,0.7739045871559633
Finland,2016.0,6.9,276743.12,5515525.0,7.769,1.4178,81.83415,1.15209,Europe,50.17529972214794
France,1999.0,5.7,2777535.24,66977107.0,6.5920000000000005,1.3522,82.52683,0.07547,Europe,41.46991956520308
Gabon,2014.0,2.7,16853.59,2119275.0,4.7989999999999995,8.0428,66.187,,Africa,7.9525262176923714
"Gambia, The",2018.0,2.4,1632.82,2280102.0,4.516,9.1285,61.735,19.84564,Africa,0.7161170859900127
Georgia,2017.0,3.8,17599.66,3726549.0,4.519,0.9896,73.6,0.75896,Middle East,4.7227770250706484
Germany,2016.0,4.8,3947620.16,82905782.0,6.985,1.1762,80.99268000000001,0.5293,Europe,47.615739997482926
Ghana,2018.0,4.0,65556.46,29767108.0,4.996,1.6838,63.78,2.17847,Africa,2.2023120284308444
Greece,2005.0,4.0,218031.84,10731726.0,5.287000000000001,0.7504,81.2878,1.24924,Europe,20.316567903429515
Guatemala,2018.0,2.9,78460.45,17247807.0,6.436,27.255,74.063,11.69229,Central America,4.549010201702744
Guinea,2018.0,2.6,10907.21,12414318.0,4.534,8.8246,61.185,,Africa,0.8785992110078057
Haiti,2018.0,2.8,9658.72,11123176.0,3.597,10.0396,63.66,,Caribbean,0.8683419196100107
Honduras,2018.0,6.1,23969.89,9587522.0,5.86,56.5157,75.08800000000001,17.46139,Central America,2.5001131679280633
"Hong Kong SAR, China",2018.0,3.3,362682.02,7451000.0,5.43,0.3832,84.93415,2.2723,Asia,48.67561669574553
Hungary,2016.0,4.7,157882.91,9775564.0,5.757999999999999,2.0715,75.81707,2.57473,Europe,16.15077247716858
Iceland,2016.0,7.5,25878.48,352721.0,7.494,0.3004,82.66098000000001,0.04765,Europe,73.36812948477692
India,2013.0,3.8,2718732.23,1350000000.0,4.015,3.2237,69.416,,Asia,2.013875725925926
Indonesia,2015.0,3.6,1042173.3,268000000.0,5.192,0.4951,71.509,5.0612,Oceania,3.888706343283582
"Iran, Islamic Rep.",2018.0,4.0,454012.77,81800269.0,4.548,2.469,76.479,0.22911,Middle East,5.550260109780323
Iraq,1989.0,3.6,224228.01,38433600.0,4.437,9.8545,70.454,,Middle East,5.834166198326464
Ireland,2016.0,3.7,382487.49,4867309.0,7.021,0.8021,82.60732,0.02866,Europe,78.58294799035771
Israel,2016.0,5.8,370587.98,8882800.0,7.138999999999999,1.364,82.80244,0.25274,Middle East,41.71972576214707
Italy,2016.0,3.8,2083864.26,60421760.0,6.223,0.6731,82.94634,2.52176,Europe,34.48863886123145
Jamaica,2018.0,5.4,15713.91,2934855.0,5.89,47.0111,74.368,13.82499,Caribbean,5.354237262147533
Japan,2016.0,3.2,4971323.08,127000000.0,5.886,0.2835,84.21098,,Asia,39.14427622047244
Jordan,2018.0,3.6,42231.3,9956011.0,4.906000000000001,1.5476,74.405,19.78779,Middle East,4.241789206540651
Kazakhstan,2018.0,2.8,179339.99,18272430.0,5.809,4.8057,73.15,0.82388,Asia,9.814785991792006
Kenya,2018.0,5.3,87908.26,51393010.0,4.5089999999999995,4.8734,66.342,,Africa,1.7105100479617754
"Korea, Rep.",2016.0,4.6,1619423.7,51606633.0,5.895,0.7011,82.62683,2.42258,Asia,31.380146424200934
Kuwait,2006.0,3.8,140645.36,4137309.0,6.021,1.7965,75.398,,Middle East,33.99440554234649
Kyrgyz Republic,2017.0,6.0,8092.84,6322800.0,5.261,4.4854,71.4,0.29122,Asia,1.2799455937242994
Lao PDR,2014.0,2.9,17953.79,7061507.0,4.796,7.01,67.61,7.50599,Asia,2.5424870356993203
Latvia,2016.0,4.7,34409.23,1927174.0,5.94,3.3623,74.67805,1.5162,Europe,17.854760390084135
Lebanon,2013.0,2.4,56639.16,6848925.0,5.197,3.9931,78.875,,Middle East,8.269788324445077
Lesotho,2018.0,6.5,2738.79,2108132.0,3.802,41.2481,53.705,2.43418,Africa,1.299154891629177
Liberia,2018.0,2.6,3264.0,4818977.0,3.975,3.2285,63.73,21.35893,Africa,0.6773221785453635
Libya,1999.0,2.3,48364.21,6678567.0,5.525,2.5039,72.72399999999999,,Africa,7.241704695034129
Lithuania,2016.0,4.0,53429.07,2801543.0,6.149,5.2469,76.29024,0.22546,Europe,19.071301065163016
Luxembourg,2015.0,4.0,70885.33,607950.0,7.09,0.7190000000000001,82.09512,0.56809,Europe,116.59730240973765
Madagascar,2018.0,3.2,13853.43,26262368.0,3.9330000000000003,7.6868,66.681,,Africa,0.5275011758269474
Malawi,2018.0,4.7,7064.97,18143315.0,3.41,1.7332,63.798,,Africa,0.3893979683426099
Malaysia,2018.0,4.5,358581.94,31528585.0,5.3389999999999995,2.1106,75.997,0.35436,Oceania,11.373232893261783
Mali,2017.0,3.8,17163.43,19077690.0,4.39,10.9032,58.893,32.59488,Africa,0.8996597596459529
Malta,2015.0,5.2,14553.42,484630.0,6.726,0.9354,82.34634,0.23263,Europe,30.029961001176154
Mauritania,2016.0,2.6,5234.82,4403319.0,4.49,9.9417,64.704,21.68001,Africa,1.1888350582821732
Mauritius,2018.0,4.8,14220.35,1265303.0,5.888,1.8219,74.41634,1.10091,Africa,11.238691443867596
Mexico,2016.0,4.9,1220699.48,126000000.0,6.595,19.264,74.992,0.72876,Central America,9.688091111111111
Moldova,2018.0,5.5,11443.67,2706049.0,5.529,3.1942,71.808,9.14765,Europe,4.228921944872395
Mongolia,2017.0,4.1,13066.75,3170208.0,5.285,5.6559,69.689,0.5923,Asia,4.121732706497491
Morocco,2009.0,5.3,117921.39,36029138.0,5.207999999999999,1.2384,76.453,2.40246,Africa,3.272945081283932
Mozambique,2018.0,5.6,14717.22,29495962.0,4.466,3.4043,60.163000000000004,10.12646,Africa,0.49895711148529415
Myanmar,2018.0,2.0,71214.8,53708395.0,4.36,2.2653,66.867,2.33744,Asia,1.3259528608144036
Namibia,2014.0,3.1,14521.71,2448255.0,4.638999999999999,17.1383,63.373000000000005,1.41966,Africa,5.931453218721089
Nepal,2018.0,5.2,29040.4,28087871.0,4.913,2.1638,70.47800000000001,3.52287,Asia,1.0339124670573998
Netherlands,2016.0,5.5,913658.47,17231624.0,7.4879999999999995,0.5534,81.76098,0.97146,Europe,53.022191640207566
New Zealand,2016.0,6.4,204923.92,4841000.0,7.307,0.9854,81.85854,,Oceania,42.330906837430284
Nicaragua,2017.0,4.3,13117.85,6465513.0,6.105,7.3671,74.275,,Central America,2.028895464288758
Niger,2018.0,4.9,9290.94,22442948.0,4.628,4.444,62.023999999999994,33.51196,Africa,0.41398037370135155
Nigeria,1975.0,3.1,397269.62,196000000.0,5.265,9.8483,54.332,,Africa,2.0268858163265304
Norway,2016.0,8.0,434166.62,5310000.0,7.553999999999999,0.5143,82.8122,0.03999,Europe,81.76395856873823
Pakistan,2017.0,2.9,314588.21,212000000.0,5.653,4.4084,67.11399999999999,27.96704,Asia,1.4839066509433962
Panama,2011.0,3.2,65055.1,4176873.0,6.321000000000001,9.6696,78.329,13.21826,Central America,15.575072548291509
Paraguay,2016.0,3.4,40496.95,6956071.0,5.742999999999999,9.2934,74.131,,South America,5.821813779646585
Peru,2018.0,3.7,222044.97,31989256.0,5.697,7.666,76.516,0.9883,South America,6.941235832430738
Philippines,2009.0,2.7,330910.34,107000000.0,5.631,11.0198,71.095,3.24851,Asia,3.0926199999999997
Poland,2016.0,4.6,585663.81,37974750.0,6.182,0.6701,77.75366,2.60404,Europe,15.422453340706653
Portugal,2015.0,4.9,240674.52,10283822.0,5.693,0.6359,81.72439,0.6174,Europe,23.403217208543673
Qatar,2017.0,2.9,191362.09,2781677.0,6.374,0.379,80.1,2.0964,Middle East,68.7937851878561
Romania,2016.0,3.0,239552.52,19466145.0,6.07,1.2488,75.40975999999999,11.60021,Europe,12.306109915445507
Russian Federation,2016.0,3.7,1657554.65,144000000.0,5.648,10.8162,72.65732,0.133,Europe,11.510796180555555
Rwanda,2018.0,3.1,9508.72,12301939.0,3.3339999999999996,2.5194,68.7,2.66825,Africa,0.772944817886026
Saudi Arabia,2008.0,5.1,786521.83,33699947.0,6.375,1.4957,74.998,3.5182,Middle East,23.338963411426136
Senegal,2018.0,4.7,24129.6,15854360.0,4.681,7.3756,67.665,23.53942,Africa,1.5219535824845656
Serbia,2017.0,3.7,50597.29,6982604.0,5.603,1.3943,75.53902,1.02643,Europe,7.246192108273648
Sierra Leone,2018.0,7.1,4085.11,7650154.0,4.374,1.7134,54.309,,Africa,0.5339905575757038
Singapore,2013.0,2.9,364156.66,5638676.0,6.2620000000000005,0.3206,83.14634000000001,0.03081,Asia,64.58194441390141
Slovak Republic,2016.0,3.9,105904.63,5446771.0,6.1979999999999995,1.0475,77.16585,5.49838,Europe,19.44356206640595
Slovenia,2016.0,4.8,54007.97,2073894.0,6.117999999999999,0.4816,81.02927,0.18207,Europe,26.041817952122916
Somalia,1973.0,1.3,4720.73,15008154.0,4.668,4.3085,57.068000000000005,,Africa,0.31454434702628986
South Africa,2018.0,6.2,368288.94,57779622.0,4.7219999999999995,33.971,63.857,7.55062,Africa,6.374028199769115
South Sudan,2017.0,1.0,11997.8,10975920.0,2.853,13.9024,57.604,,Africa,1.0931019905392896
Spain,2016.0,4.2,1419041.95,46796540.0,6.354,0.6335,83.33415,2.53093,Europe,30.323651064800945
Sri Lanka,2018.0,2.1,88900.77,21670000.0,4.3660000000000005,2.5495,76.812,0.71546,Asia,4.102481310567605
Sweden,2016.0,7.7,556086.49,10175214.0,7.343,1.0778,82.5122,0.27576,Europe,54.65108547102793
Switzerland,2016.0,5.1,705140.35,8513227.0,7.48,0.5364,83.55122,0.14638,Europe,82.82879688278017
Tajikistan,2015.0,5.2,7522.95,9100837.0,5.4670000000000005,1.6121,70.87899999999999,0.54687,Asia,0.8266217711623667
Tanzania,2018.0,3.7,58001.2,56318348.0,3.2310000000000003,6.9525,65.015,15.43671,Africa,1.0298810611419211
Thailand,2013.0,4.1,504992.76,69428524.0,6.007999999999999,3.2394,76.931,,Asia,7.273563240376535
Tonga,2004.0,3.9,450.35,103197.0,4.085,0.9528,70.801,,Oceania,4.363983449131273
Trinidad and Tobago,2003.0,3.1,23808.15,1389858.0,6.192,30.8803,73.38,,Caribbean,17.12991543020942
Tunisia,2015.0,6.6,39871.13,11565204.0,4.461,3.0496,76.505,,Africa,3.4475077136555483
Turkey,2006.0,2.8,771350.33,82319724.0,5.372999999999999,4.3127,77.437,5.1231,Middle East,9.370176338297734
Turkmenistan,2012.0,3.0,40761.14,5850908.0,5.247000000000001,4.2203,68.07300000000001,,Asia,6.966634922306076
Uganda,2018.0,2.5,27461.44,42723139.0,4.189,11.5185,62.973,,Africa,0.6427767397896489
Ukraine,2017.0,5.4,130832.37,44622516.0,4.332,6.3386,71.58268000000001,,Europe,2.9319810205233607
United Kingdom,2016.0,5.5,2855296.73,66460344.0,7.053999999999999,1.2024,81.3561,0.43037,Europe,42.962412743454955
United States,2014.0,5.0,20544343.46,327000000.0,6.892,5.3533,78.53902,0.38956,North America,62.82673840978593
Uruguay,2017.0,4.8,59596.89,3449299.0,6.292999999999999,7.6943,77.77,0.30549,Africa,17.277971553060492
Uzbekistan,2017.0,5.3,50499.92,32955400.0,6.1739999999999995,2.9983,71.57300000000001,0.72296,Asia,1.5323716295356755
"Venezuela, RB",2009.0,6.9,482359.32,28870195.0,4.707,56.3333,72.128,9.61041,South America,16.707864979782784
Vietnam,2018.0,4.2,245213.69,95540395.0,5.175,1.5184,75.317,,Asia,2.5665969875883388
"Yemen, Rep.",2008.0,5.2,26914.4,28498687.0,3.38,6.6585,66.096,,Middle East,0.9444084213423587
Zambia,2018.0,4.7,26720.07,17351822.0,4.107,5.2979,63.51,14.89646,Africa,1.539899959785203
Zimbabwe,2018.0,4.6,31000.52,14439018.0,3.6630000000000003,6.6686,61.195,,Africa,2.1469964231639573
